"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","auxiliary_coef","base_factors","base_items","base_min_item_interactions","base_min_user_interactions","base_model","base_run_id","base_users","batch_size","beta1","beta2","contrastive_coef","dataset","early_stop","embedding_dim","epochs","evaluate_every","expansion_ratio","items","l1_coef","lr","min_item_interactions","min_user_interactions","model","n_batches_to_dead","normalize","note","reconstruction_coef","reconstruction_loss","sample_users","seed","target_ratio","test_ratio","top_k","topk_aux","users","val_ratio","CosineSim/test","CosineSim/valid","DeadNeurons/test","DeadNeurons/valid","L0/test","L0/valid","NDCG20/test","NDCG20/valid","NDCG20_Degradation/test","NDCG20_Degradation/valid","NDCG20_base/test","NDCG20_base/valid","R20/test","R20/valid","R20_Degradation/test","R20_Degradation/valid","loss/Auxiliary/valid","loss/Contrastive/valid","loss/Cosine/train","loss/Cosine/valid","loss/L0/train","loss/L0/valid","loss/L1/train","loss/L1/valid","loss/L2/train","loss/L2/valid","loss/Loss/train","loss/Loss/valid"
"2025-05-25 12:20:44","44.8min","b6f471cb3b41454ab2a52932b403ade9","TopKSAE_1024_128_2025-05-25_21-20-40","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","1024","4000","10","4.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","128","512","88897","0.1","0.9914092421531677","0.9914380311965942","0","0","128","128","0.3955356180667877","0.3956829905509949","'-0.0022734403610229492","'-0.0019356608390808105","0.39780905842781067","0.3976186513900757","0.35447418689727783","0.3555688261985779","'-0.001905590295791626","'-0.002032727003097534","0.019640401419666078","6.219460805257161","0.008270114660263062","0.009820926003158092","128","128","98.87601111275809","100.23287285698785","0.04808960668742657","0.04497449141409662","0.07631737206663404","0.07423917121357387"
"2025-05-25 12:20:44","43.7min","bbae35b675674be99f7ec013dc869b35","TopKSAE_1024_64_2025-05-25_21-20-39","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","1024","4000","10","4.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","64","512","88897","0.1","0.9698293805122375","0.9697941541671753","0","0","64","64","0.3921505808830261","0.3921039402484894","'-0.005658477544784546","'-0.005514711141586304","0.39780905842781067","0.3976186513900757","0.3512226343154907","0.3522392809391022","'-0.005157142877578735","'-0.005362272262573242","0","6.188841660817464","0.029637494550219603","0.03486796592672666","64","64","67.83812386648995","68.20824856228299","0.17039491406508855","0.15286507540278965","0.18537039373602185","0.16850466032822928"
"2025-05-25 12:20:44","39.4min","738b64ba61a64752b4edba280a4eef9e","TopKSAE_1024_32_2025-05-25_21-20-39","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","1024","4000","10","4.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","32","512","88897","0.1","0.9471736550331116","0.9471226930618286","0","0","32","32","0.38590332865715027","0.38584813475608826","'-0.0119057297706604","'-0.011770516633987427","0.39780905842781067","0.3976186513900757","0.3454558551311493","0.3459968864917755","'-0.010923922061920166","'-0.011604666709899902","0","6.161900361378987","0.05158044711819717","0.06066308211949137","32","32","47.18340846470424","47.14488050672743","0.2953557014465332","0.2624195052517785","0.3001922552074705","0.26828363206651473"
"2025-05-25 12:20:43","37.9min","0e6a5eada6f546b283ea4459f78f3c2d","TopKSAE_2048_64_2025-05-25_21-20-39","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","2048","4000","10","8.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","64","512","88897","0.1","0.9657880067825317","0.9658346772193909","0","0","64","64","0.3907864987850189","0.39043867588043213","'-0.007022559642791748","'-0.007179975509643555","0.39780905842781067","0.3976186513900757","0.3498750329017639","0.35051748156547546","'-0.006504744291305542","'-0.007084071636199951","0","6.175629986657037","0.029915900927569183","0.03923810107840432","64","64","60.619824164254325","60.67873424953885","0.16102542004414966","0.1739131493700875","0.17413101685898644","0.18662981192270914"
"2025-05-25 12:20:43","20.9min","c6cfa11f247b4ab58016f5dea52dcb80","TopKSAE_2048_32_2025-05-25_21-20-39","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","2048","4000","10","8.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","32","512","88897","0.1","0.942686915397644","0.9430782198905945","0","0","32","32","0.38344767689704895","0.3839762508869171","'-0.014361381530761719","'-0.01364240050315857","0.39780905842781067","0.3976186513900757","0.343463659286499","0.34428805112838745","'-0.012916117906570435","'-0.013313502073287964","0.12539580878284243","6.166581948598226","0.05192163948501859","0.06470537392629518","32","32","43.24524841308594","43.13176557752821","0.285359371985708","0.2796184817949931","0.28969064014298573","0.28765467471546596"
"2025-05-25 12:20:40","14.0min","6820409741044eafb5d1758073ae771e","TopKSAE_4096_64_2025-05-25_21-20-37","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","4096","4000","10","16.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","64","512","88897","0.1","0.960520327091217","0.9606146216392517","0","0","64","64","0.3885539472103119","0.38813623785972595","'-0.00925511121749878","'-0.009482413530349731","0.39780905842781067","0.3976186513900757","0.3477495610713959","0.3485684394836426","'-0.008630216121673584","'-0.009033113718032837","0","6.198178238338894","0.02930670590805156","0.04472042289045122","64","64","53.03837351117815","52.88637924194336","0.14728113945041385","0.19938992460568747","0.15854593345097134","0.20896508793036142"
"2025-05-25 12:20:40","12.0min","d3945a0ac9da4064b8e8a5017f68eafc","TopKSAE_4096_32_2025-05-25_21-20-37","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","4096","4000","10","16.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","32","512","88897","0.1","0.9409554600715637","0.9409174919128418","0.0068359375","0.00439453125","32","32","0.38250675797462463","0.3823738396167755","'-0.015302300453186035","'-0.015244811773300171","0.39780905842781067","0.3976186513900757","0.34227117896080017","0.3427724540233612","'-0.014108598232269287","'-0.014829099178314209","0.1281945589515898","6.189333491855198","0.04748737215995789","0.06687636921803157","32","32","40.95145083836147","40.660237630208336","0.2528908942426954","0.2936907245053185","0.2600756885749953","0.30062893364164567"
"2025-05-25 12:20:40","15.7min","dbaee95cb7874645a528d0830d6be525","TopKSAE_4096_128_2025-05-25_21-20-37","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","4096","4000","10","16.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","128","512","88897","0.1","0.9780288338661194","0.9780591726303101","0","0","128","128","0.393320232629776","0.3928210735321045","'-0.004488825798034668","'-0.004797577857971191","0.39780905842781067","0.3976186513900757","0.35277801752090454","0.35287734866142273","'-0.003601759672164917","'-0.0047242045402526855","0","6.181223021613227","0.015462377361421075","0.024991078716185357","128","128","68.61791806902204","68.86922624376085","0.0756862176316125","0.11227334539095561","0.09388369460191046","0.1293918920887841"
"2025-05-25 12:20:39","16.6min","622c05b8482a4760bd530de942d60087","TopKSAE_2048_128_2025-05-25_21-20-37","LOCAL","train_sae.py","kostejnv","FINISHED","0.03125","256","14069","20","50","ELSA","0c2c7c4b7cd5427db21b9c7022ffbc18","88897","1024","0.9","0.99","0.0","MovieLens","250","2048","4000","10","8.0","14069","0.0003","1e-05","20","50","TopKSAE","5","False","sizes_L2","0.96845","L2","False","42","0.2","0.1","128","512","88897","0.1","0.9867104291915894","0.9867311120033264","0","0","128","128","0.39534515142440796","0.39506208896636963","'-0.00246390700340271","'-0.0025565624237060547","0.39780905842781067","0.3976186513900757","0.35394906997680664","0.3549385964870453","'-0.0024307072162628174","'-0.002662956714630127","0","6.20341353946262","0.011504722838955267","0.015303016847206486","128","128","87.96304397583008","88.85391150580512","0.06175948317561831","0.06938905848397149","0.08619988656469754","0.0938560093442599"
